participant,C1,C2,C3,C4,C5,C6,score,published_top10
Ada Tours,15,20,20,14,10,15,94,yes
Рус Мото Тревел,20,18,10,15,10,15,88,yes
MotoQuest,20,19,18,15,0,15,87,yes
Compass Expeditions,20,18,18,14,0,15,85,yes
OVERCROSS,20,18,17,14,0,15,84,yes
GlobeBusters,20,18,15,15,0,15,83,yes
RIDE Adventures,20,19,13,15,0,15,82,yes
Ride Expeditions,20,19,12,15,0,15,81,yes
ADVmotoEcuador,20,17,15,15,0,13,80,yes
Ayres Adventures,20,19,12,14,0,15,80,yes
PeruMotors,20,17,14,13,0,15,79,no
Moto Patagonia,20,18,10,15,0,15,78,no
Patagonia Rider,19,18,10,15,0,15,77,no
MTX Rides,20,18,10,15,0,13,76,no
