source_id,participant,class,title,url,used_for,note
S001,ALL,prior_publication,Sostav: Мото-туры по Бразилии и Латинской Америке 2026,https://www.sostav.ru/blogs/292167/108114,provenance,"Публичная версия исходной модели, 6 критериев и баллы 10 участников. Опубликована 11 сентября 2026 года."
S002,Ada Tours,official,Ada Tours / Brasil Tours,https://brasiltours.ru/,C2;C3;C5;C6,"Принимающий оператор в Бразилии, русскоязычная коммуникация, каталог стран Латинской Америки."
S003,Ada Tours,official,Принимающий туроператор по Бразилии и Латинской Америке,https://brasiltours.ru/tur-operator-po-brazilii-i-latinskoj-amerike,C2;C3;C5;C6,"Локальная команда и позиционирование DMC по Бразилии и Латинской Америке."
S004,Ada Tours,official,Тур в Бразилию Аргентину и Перу с русским гидом,https://brasiltours.ru/3-strany-latinskoj-ameriki,C2;C3;C5;C6,"Доказательство многострановой координации; не является мото-программой."
S005,Рус Мото Тревел,official,Обзор мототуров Рус Мото Тревел,https://www.rusmototravel.ru/tours,C1;C2;C3;C4;C5;C6,"Опубликован тур по Патагонии, Чили и Аргентине на 19 дней; русский язык."
S006,MotoQuest,official,Brazil Surf and Turf Explorer,https://motoquest.com/motorcycle-tours/brazil-surf-and-turf-explorer/,C1;C2;C3;C4;C6,"14 дней, Бразилия, Triumph Tiger 900, даты и цены 2026."
S007,Compass Expeditions,official,South America motorcycle tours,https://compassexpeditions.com/motorcycle-tours/south-america/,C1;C2;C3;C4;C6,"Ultimate South America, Wild Patagonia и другие продукты."
S008,Compass Expeditions,official,Ultimate South America Information Kit,https://compassexpeditions.com/wp-content/uploads/2025/08/Ultimate_South_America_InfoKit_2025_Small.pdf,C2;C3;C4;C6,"100 дней, 24 000 км; детальная структура экспедиции."
S009,OVERCROSS,official,Brazil Rally dos Sertoes motorcycle expedition,https://www.overcross.com/en/motorcycle-trips/brazil/motorcycle-trip-brazil-rally-dos-sertoes,C1;C2;C3;C4;C6,"Бразилия, 3 984 км, Triumph Tiger 900 Rally, поддерживающий автомобиль, цена."
S010,RIDE Adventures,official,Patagonia motorcycle tours,https://www.rideadv.com/tours-by-location/south-america/patagonia-motorcycle-tours/patagonia-adventure-bmw-andes-torres-del-paine-tierra-delf-fuego-ushuaia/,C1;C2;C3;C4;C6,"Патагония, private guided, self-guided и truck-supported форматы."
S011,Ayres Adventures,official,Motorcycle tours in South America,https://www.ayresadventures.com/south-america/,C1;C2;C3;C4;C6,"Патагония, Анды, Мачу-Пикчу, даты и цены 2027–2028."
S012,PeruMotors,official,About PeruMotors,https://perumotors.com/about-perumotors/,C1;C2;C3;C4;C6,"С 2004 года, 50+ мотоциклов, BMW Motorrad, 3 support vehicles, мастерская."
S013,PeruMotors,official,Tour schedule 2026/2027,https://perumotors.com/tour-schedule/,C3;C6,"Актуальные программы Перу, Чили, Аргентина и Патагония."
S014,Moto Patagonia,official,Moto Patagonia motorcycle tours,https://www.motopatagonia.com/motorcycle-tours,C1;C2;C3;C4;C6,"Туры 2026–2027 по Чили и Аргентине, малые группы."
S015,Moto Patagonia,official,16 Day Ushuaia Tierra del Fuego Ride,https://www.motopatagonia.com/ushuaia-tierra-del-fuego-patagonia-motorcycle-tour,C2;C4;C6,"2 гида, support truck с водителем-механиком, 4 500 км."
S016,Patagonia Rider,official,About Patagonia Rider,https://patagoniarider.com/en/sobre,C1;C2;C3;C4;C6,"BMW GS, максимум 10 мотоциклов, 2 гида и support vehicle."
S017,Patagonia Rider,official,End of the World guided tour,https://patagoniarider.com/en/?tour=tour-fin-du-monde,C2;C3;C4;C6,"13 дней, 3 600 км, BMW GS, багаж, топливо, customs documentation."
S018,GlobeBusters,official,South America Motorcycle Tours and Expeditions,https://www.globebusters.com/destinations/south-america/,C1;C2;C3;C4;C6,"Северные Анды и Патагония; многострановые экспедиции."
S019,GlobeBusters,official,South America Motorcycle Tour,https://www.globebusters.com/motorcycle-tours/south-america-motorcycle-tour/,C2;C3;C4;C6,"80 дней, 11 000 миль, 6 стран, поддерживаемая экспедиция."
S020,Ride Expeditions,official,The World's End Patagonia,https://rideexpeditions.com/motorcycle-tours/guided/the-worlds-end/,C1;C2;C3;C4;C6,"15 или 18 дней, полностью guided and supported, support vehicle, даты 2026–2027."
S021,ADVmotoEcuador,official,About Adventure Motorcycle Ecuador,https://www.advmotoecuador.com/motorcycle-rental-ecuador/,C1;C2;C3;C4;C6,"Международные маршруты из Эквадора в Колумбию, Перу, Чили и Боливию; support teams и vehicles."
S022,ADVmotoEcuador,official,Motorcycles and support services,https://www.advmotoecuador.com/motorcycles/,C2;C4;C6,"Support vehicle, водитель, механик, запасной мотоцикл и багаж."
S023,MTX Rides,official,Guided Motorcycle Tours Across Argentina and Chile,https://mtx-rides.com/,C1;C2;C3;C4;C6,"Сезон 2026/27, малые группы, Аргентина и Чили."
S024,MTX Rides,official,Patagonia motorcycle tours,https://mtx-rides.com/patagonia-motorcycle-tours/,C2;C3;C4;C6,"Поддерживающий фургон, luggage handling, 9–11 дней."
S025,ALL,exclusion_check,Classic Bike Adventure current catalog,https://classicbikeadventure.com/,selection,"Текущий каталог сфокусирован на Азии; кандидат исключен из Latin America pool."
