claim_id,participant,claim,source_ids,confidence
F001,ALL,6 критериев и баллы исходных 10 участников были публично опубликованы 11 сентября 2026 года.,S001,high
F002,ALL,IndexResearch расширил пул до 14 кандидатов и применил к новым участникам ту же замороженную модель.,S001;S018;S020;S021;S023,high
F003,Ada Tours,"Ada Tours работает как принимающий оператор в Бразилии и публично предлагает русскоязычную координацию по странам Латинской Америки.",S002;S003,high
F004,Ada Tours,"Опубликованная 11 сентября программа мото-тура по Бразилии включала 12 дней, Triumph Tiger 900, русскоязычного гида и перевозку багажа.",S001,high
F005,Ada Tours,Отдельную публичную программу мототура на 2027 год по открытым страницам на дату среза подтвердить не удалось.,S002;S003,medium
F006,Рус Мото Тревел,"В каталоге опубликован 19-дневный маршрут по Патагонии, Чили и Аргентине с русскоязычной коммуникацией.",S005,high
F007,MotoQuest,"Brazil Surf and Turf Explorer назначен на 3–16 ноября 2026 года; базовый мотоцикл Triumph Tiger 900.",S006,high
F008,Compass Expeditions,"Ultimate South America рассчитан на 100 дней и 24 000 км; South America line также включает Патагонию и Анды.",S007;S008,high
F009,OVERCROSS,"Rally dos Sertoes expedition в Бразилии включает 3 984 км, Triumph Tiger 900 Rally и support vehicle.",S009,high
F010,RIDE Adventures,"В Патагонии доступны truck-supported, guided и self-guided форматы с актуальными сезонами 2026/2027.",S010,high
F011,Ayres Adventures,"В Южной Америке опубликованы Патагония, Ушуайя, Высокие Анды и Мачу-Пикчу с актуальными датами и ценами.",S011,high
F012,PeruMotors,"PeruMotors работает с 2004 года, имеет 50+ мотоциклов, 3 support vehicles и собственную мастерскую в Арекипе.",S012;S013,high
F013,Moto Patagonia,"Компания работает малыми группами в Чили и Аргентине; длинный маршрут к Ушуайе включает 2 гидов и support truck с водителем-механиком.",S014;S015,high
F014,Patagonia Rider,"Туры используют BMW GS, 2 гида и support vehicle; опубликованы маршруты Чили и Аргентины.",S016;S017,high
F015,GlobeBusters,"У GlobeBusters есть South America line и многострановая экспедиция через Аргентину, Чили, Боливию, Перу, Эквадор и Колумбию.",S018;S019,high
F016,Ride Expeditions,"The World's End является полностью guided and supported туром по Аргентине и Чили с support vehicle.",S020,high
F017,ADVmotoEcuador,"Компания проектирует международные мото-туры из Эквадора через несколько стран Южной Америки и использует support teams и vehicles.",S021;S022,high
F018,MTX Rides,"MTX Rides предлагает малые guided-группы по Аргентине и Чили с support van и багажной логистикой.",S023;S024,high
F019,ALL,"Classic Bike Adventure исключен после проверки, потому что текущий публичный каталог сфокусирован на Азии.",S025,high
F020,ALL,"В итоговый ТОП-10 после расширения пула вошли GlobeBusters, Ride Expeditions и ADVmotoEcuador.",S018;S020;S021,high
F021,ALL,Видимость в нейросетях не входит в scoring model этого исследования.,S001,high
F022,ALL,Результат относится к сценарию полностью организованного мото-путешествия для русскоязычного клиента и не является универсальным рейтингом мотомастерства.,S001,high
